Fecha,Último
19/05/2017,"5.570,10"
18/05/2017,"5.443,10"
17/05/2017,"5.530,30"
16/05/2017,"5.448,50"
15/05/2017,"5.482,90"
12/5/17,"5.435,30"
11/5/17,"5.391,40"
10/5/17,"5.401,20"
9/5/17,"5.397,20"
8/5/17,"5.378,50"
5/5/17,"5.383,40"
4/5/17,"5.386,20"
3/5/17,"5.478,70"
2/5/17,"5.498,00"
28/04/2017,"5.336,70"
27/04/2017,"5.340,20"
26/04/2017,"5.476,20"
25/04/2017,"5.599,60"
24/04/2017,"5.546,30"
21/04/2017,"5.522,50"
20/04/2017,"5.572,10"
18/04/2017,"5.600,10"
17/04/2017,"5.598,40"
13/04/2017,"5.621,80"
12/4/17,"5.619,30"
11/4/17,"5.704,80"
10/4/17,"5.788,40"
7/4/17,"5.745,40"
6/4/17,"5.699,30"
5/4/17,"5.684,60"
4/4/17,"5.602,80"
3/4/17,"5.557,20"
31/03/2017,"5.549,90"
30/03/2017,"5.652,60"
29/03/2017,"5.792,40"
28/03/2017,"5.726,80"
27/03/2017,"5.613,20"
24/03/2017,"5.594,00"
23/03/2017,"5.503,70"
22/03/2017,"5.444,10"
21/03/2017,"5.446,60"
20/03/2017,"5.399,20"
17/03/2017,"5.409,40"
16/03/2017,"5.349,90"
15/03/2017,"5.357,20"
14/03/2017,"5.390,50"
13/03/2017,"5.360,40"
10/3/17,"5.336,70"
9/3/17,"5.314,60"
8/3/17,"5.320,80"
7/3/17,"5.353,80"
6/3/17,"5.334,40"
3/3/17,"5.336,40"
2/3/17,"5.334,20"
1/3/17,"5.363,90"
28/02/2017,"5.312,90"
27/02/2017,"5.348,80"
24/02/2017,"5.366,00"
23/02/2017,"5.399,40"
22/02/2017,"5.449,80"
21/02/2017,"5.457,40"
20/02/2017,"5.405,40"
17/02/2017,"5.385,70"
16/02/2017,"5.413,90"
15/02/2017,"5.364,90"
14/02/2017,"5.324,60"
13/02/2017,"5.334,60"
10/2/17,"5.360,20"
9/2/17,"5.337,70"
8/2/17,"5.291,30"
7/2/17,"5.284,90"
6/2/17,"5.292,80"
3/2/17,"5.317,60"
2/2/17,"5.256,20"
1/2/17,"5.257,80"
31/01/2017,"5.257,90"
30/01/2017,"5.268,00"
27/01/2017,"5.276,10"
26/01/2017,"5.307,40"
25/01/2017,"5.261,50"
24/01/2017,"5.209,90"
23/01/2017,"5.281,50"
20/01/2017,"5.265,70"
19/01/2017,"5.262,80"
18/01/2017,"5.256,80"
17/01/2017,"5.227,50"
16/01/2017,"5.249,00"
13/01/2017,"5.278,60"
12/1/17,"5.229,50"
11/1/17,"5.227,60"
10/1/17,"5.225,30"
9/1/17,"5.265,40"
6/1/17,"5.311,50"
5/1/17,"5.276,60"
4/1/17,"5.324,90"
3/1/17,"5.321,70"
30/12/2016,"5.299,50"
29/12/2016,"5.310,80"
28/12/2016,"5.196,50"
27/12/2016,"5.114,70"
26/12/2016,"5.176,00"
23/12/2016,"5.065,60"
