Fecha,Último
8/4/16,"302,00"
7/4/16,"302,00"
6/4/16,"306,06"
5/4/16,"307,14"
4/4/16,"306,54"
1/4/16,"307,00"
31/03/2016,"304,26"
30/03/2016,"300,09"
29/03/2016,"289,64"
28/03/2016,"296,84"
24/03/2016,"320,00"
23/03/2016,"317,21"
22/03/2016,"316,73"
21/03/2016,"320,00"
18/03/2016,"334,09"
17/03/2016,"327,23"
16/03/2016,"318,68"
15/03/2016,"306,99"
14/03/2016,"291,00"
11/3/16,"292,96"
10/3/16,"291,00"
9/3/16,"294,00"
8/3/16,"291,00"
7/3/16,"291,98"
4/3/16,"293,00"
3/3/16,"290,01"
2/3/16,"288,64"
1/3/16,"287,00"
29/02/2016,"284,93"
26/02/2016,"282,02"
25/02/2016,"285,00"
24/02/2016,"282,29"
23/02/2016,"282,48"
22/02/2016,"284,99"
19/02/2016,"289,83"
18/02/2016,"286,07"
17/02/2016,"278,89"
16/02/2016,"282,93"
15/02/2016,"278,98"
12/2/16,"275,00"
11/2/16,"280,00"
10/2/16,"281,65"
9/2/16,"281,47"
8/2/16,"278,99"
5/2/16,"275,02"
4/2/16,"282,55"
3/2/16,"282,11"
2/2/16,"278,03"
1/2/16,"282,01"
29/01/2016,"281,67"
28/01/2016,"278,50"
27/01/2016,"277,49"
26/01/2016,"280,00"
25/01/2016,"277,73"
22/01/2016,"284,23"
21/01/2016,"281,02"
20/01/2016,"275,03"
19/01/2016,"279,00"
18/01/2016,"277,85"
15/01/2016,"279,65"
14/01/2016,"286,00"
13/01/2016,"290,41"
12/1/16,"290,00"
11/1/16,"291,91"
8/1/16,"290,01"
7/1/16,"289,77"
6/1/16,"286,90"
5/1/16,"286,44"
4/1/16,"287,00"
30/12/2015,"290,87"
29/12/2015,"290,76"
28/12/2015,"290,03"
24/12/2015,"285,79"
23/12/2015,"286,34"
22/12/2015,"283,21"
21/12/2015,"279,86"
18/12/2015,"284,07"
17/12/2015,"273,49"
16/12/2015,"273,60"
15/12/2015,"274,17"
14/12/2015,"278,39"
11/12/15,"278,96"
10/12/15,"274,97"
9/12/15,"272,27"
7/12/15,"275,00"
4/12/15,"259,94"
3/12/15,"246,12"
2/12/15,"249,99"
1/12/15,"253,67"
30/11/2015,"261,23"
27/11/2015,"265,76"
26/11/2015,"263,40"
25/11/2015,"265,26"
24/11/2015,"272,65"
23/11/2015,"273,03"
20/11/2015,"288,58"
19/11/2015,"276,67"
18/11/2015,"293,88"
17/11/2015,"218,13"
16/11/2015,"221,12"
13/11/2015,"224,00"
12/11/15,"225,87"
11/11/15,"225,48"
10/11/15,"224,50"
9/11/15,"226,50"
6/11/15,"226,50"
5/11/15,"228,18"
4/11/15,"228,00"
3/11/15,"228,00"
2/11/15,"228,06"
30/10/2015,"228,99"
29/10/2015,"228,86"
28/10/2015,"228,65"
27/10/2015,"228,00"
26/10/2015,"229,02"
23/10/2015,"229,70"
22/10/2015,"230,00"
21/10/2015,"230,17"
20/10/2015,"231,50"
19/10/2015,"231,11"
16/10/2015,"233,74"
15/10/2015,"234,01"
14/10/2015,"231,36"
13/10/2015,"238,60"
9/10/15,"237,29"
8/10/15,"233,26"
7/10/15,"234,15"
6/10/15,"231,00"
5/10/15,"230,00"
2/10/15,"228,48"
1/10/15,"229,00"
30/09/2015,"230,01"
29/09/2015,"230,00"
28/09/2015,"232,38"
25/09/2015,"235,00"
24/09/2015,"235,00"
23/09/2015,"239,80"
22/09/2015,"238,00"
21/09/2015,"242,32"
17/09/2015,"243,89"
16/09/2015,"245,00"
15/09/2015,"242,30"
14/09/2015,"237,17"
11/9/15,"238,18"
10/9/15,"235,98"
9/9/15,"237,00"
8/9/15,"237,98"
7/9/15,"234,60"
4/9/15,"238,00"
3/9/15,"244,95"
2/9/15,"236,04"
1/9/15,"229,39"
31/08/2015,"230,17"
28/08/2015,"229,84"
27/08/2015,"229,98"
26/08/2015,"220,81"
25/08/2015,"222,24"
24/08/2015,"220,00"
21/08/2015,"226,66"
20/08/2015,"227,00"
19/08/2015,"230,01"
18/08/2015,"231,21"
17/08/2015,"234,23"
14/08/2015,"236,00"
13/08/2015,"236,00"
